source_id,stage,component,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,jpeg_q75,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.0558571122819558e-05,4.5352579036261886e-05
0801,jpeg_q75,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.2793311725545209e-05,2.9479673685273156e-05
0801,jpeg_q75,dpir_nominal,6,0.03697589039802551,0.019561151042580605,7.5044467848783825e-06,2.0446768758120015e-05
0801,jpeg_q75,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.478139888102305e-06,1.5722211173851974e-05
0801,jpeg_q75,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.258464067177556e-06,1.3651745575771201e-05
0801,jpeg_q75,dpir_nominal_sigma08,1,0.0003831736685242504,0.1921568661928177,0.0002478702226653695,0.00023976329248398542
0801,jpeg_q75,dpir_nominal_sigma08,2,0.0009556531440466642,0.12167562544345856,5.916327427257784e-05,0.00013444825890474021
0801,jpeg_q75,dpir_nominal_sigma08,3,0.0023834437597543,0.07704620808362961,3.7213256291579455e-05,7.927909609861672e-05
0801,jpeg_q75,dpir_nominal_sigma08,4,0.005944420117884874,0.04878642410039902,1.8421089407638647e-05,4.906756294076331e-05
0801,jpeg_q75,dpir_nominal_sigma08,5,0.014825660735368729,0.03089204803109169,1.0347444003855344e-05,3.2511583412997425e-05
0801,jpeg_q75,dpir_nominal_sigma08,6,0.03697589039802551,0.019561151042580605,6.670123184449039e-06,2.20390302274609e-05
0801,jpeg_q75,dpir_nominal_sigma08,7,0.09221960604190826,0.012386314570903778,3.6344129057397367e-06,1.58164602908073e-05
0801,jpeg_q75,dpir_nominal_sigma08,8,0.22999997437000275,0.007843137718737125,1.4091973525864887e-06,1.2888867786386982e-05
0801,jpeg_q75,dpir_nominal_sigma12,1,0.0003831736685242504,0.1921568661928177,0.00038071320159360766,0.00021598579769488424
0801,jpeg_q75,dpir_nominal_sigma12,2,0.0009556531440466642,0.12167562544345856,8.607644122093916e-05,0.0001183622662210837
0801,jpeg_q75,dpir_nominal_sigma12,3,0.0023834437597543,0.07704620808362961,4.2116811528103426e-05,6.781081174267456e-05
0801,jpeg_q75,dpir_nominal_sigma12,4,0.005944420117884874,0.04878642410039902,2.6411213184474036e-05,4.077670382685028e-05
0801,jpeg_q75,dpir_nominal_sigma12,5,0.014825660735368729,0.03089204803109169,1.5306695786421187e-05,2.684777973627206e-05
0801,jpeg_q75,dpir_nominal_sigma12,6,0.03697589039802551,0.019561151042580605,7.388503036054317e-06,1.9851531760650687e-05
0801,jpeg_q75,dpir_nominal_sigma12,7,0.09221960604190826,0.012386314570903778,3.080534042965155e-06,1.632245948712807e-05
0801,jpeg_q75,dpir_nominal_sigma12,8,0.22999997437000275,0.007843137718737125,1.1470596064100391e-06,1.4815306712989695e-05
0801,jpeg_q75,dpir_nominal_rot90,1,0.0003831736685242504,0.1921568661928177,0.00039529826608486474,0.00023060482635628432
0801,jpeg_q75,dpir_nominal_rot90,2,0.0009556531440466642,0.12167562544345856,8.19680790300481e-05,0.00012789282482117414
0801,jpeg_q75,dpir_nominal_rot90,3,0.0023834437597543,0.07704620808362961,3.823111183010042e-05,7.425501098623499e-05
0801,jpeg_q75,dpir_nominal_rot90,4,0.005944420117884874,0.04878642410039902,2.038447928498499e-05,4.5303931983653456e-05
0801,jpeg_q75,dpir_nominal_rot90,5,0.014825660735368729,0.03089204803109169,1.273291763936868e-05,2.9445429390762e-05
0801,jpeg_q75,dpir_nominal_rot90,6,0.03697589039802551,0.019561151042580605,7.586991159769241e-06,2.0406821931828745e-05
0801,jpeg_q75,dpir_nominal_rot90,7,0.09221960604190826,0.012386314570903778,3.36304537995602e-06,1.5786714357091114e-05
0801,jpeg_q75,dpir_nominal_rot90,8,0.22999997437000275,0.007843137718737125,1.301176666856918e-06,1.3680211850441992e-05
0801,jpeg_q75,dpir_nominal_rot180,1,0.0003831736685242504,0.1921568661928177,0.0003893272078130394,0.00023208300990518183
0801,jpeg_q75,dpir_nominal_rot180,2,0.0009556531440466642,0.12167562544345856,8.56375991133973e-05,0.0001283435703953728
0801,jpeg_q75,dpir_nominal_rot180,3,0.0023834437597543,0.07704620808362961,3.7350218917708844e-05,7.46394507586956e-05
0801,jpeg_q75,dpir_nominal_rot180,4,0.005944420117884874,0.04878642410039902,2.0273044356144965e-05,4.5637098082806915e-05
0801,jpeg_q75,dpir_nominal_rot180,5,0.014825660735368729,0.03089204803109169,1.3212570593168493e-05,2.9372611606959254e-05
0801,jpeg_q75,dpir_nominal_rot180,6,0.03697589039802551,0.019561151042580605,7.4818885877903085e-06,2.0395362298586406e-05
0801,jpeg_q75,dpir_nominal_rot180,7,0.09221960604190826,0.012386314570903778,3.442331035330426e-06,1.5737148714833893e-05
0801,jpeg_q75,dpir_nominal_rot180,8,0.22999997437000275,0.007843137718737125,1.3002046443943982e-06,1.3629743989440612e-05
0801,jpeg_q75,fbcnn_dpir,1,0.0003831736685242504,0.1921568661928177,0.00021724369435105473,0.000196532579138875
