stage,pipeline,region,score,coverage,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_detail,0.9,0.0018076517735264221,0.0008034345183607883,0.3971861471861472,0.05844155844155844,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_detail,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_rgb,0.5,0.001482264772046964,0.0006888681490408263,0.3125,0.044921875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_rgb,0.75,0.0016300117184024627,0.0007357529244596709,0.36067708333333337,0.046875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_rgb,0.9,0.0018176395322009795,0.0008104357620215233,0.4025974025974026,0.06060606060606061,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,operator_spread_rgb,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,oracle_detail_error,0.5,0.0012382996942871271,0.0004983700108507702,0.2421875,0.0,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,oracle_detail_error,0.75,0.0015201617012929815,0.0006411788162917757,0.2669270833333333,0.013020833333333334,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,oracle_detail_error,0.9,0.0017530887977210625,0.0007522102686593748,0.37012987012987014,0.05303030303030303,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,oracle_detail_error,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,random_expected,0.5,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,random_expected,0.75,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,random_expected,0.9,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
jpeg_q75,fbcnn_dpir,textured_quartile,random_expected,1.0,0.0020078610383320616,0.0008770115402972401,0.431640625,0.07421875,0.0
quantized_8bit,dpir_nominal,all,image_gradient,0.5,0.00026417265589801094,0.00013586593635507636,0.033203125,0.001953125,0.0
quantized_8bit,dpir_nominal,all,image_gradient,0.75,0.00044611048219679453,0.0002204199994836345,0.08235677083333334,0.006510416666666667,0.0
quantized_8bit,dpir_nominal,all,image_gradient,0.9,0.0005727029505304389,0.00027160851107414433,0.11361171366594361,0.009761388286334056,0.0
quantized_8bit,dpir_nominal,all,image_gradient,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,image_transform_spread_detail,0.5,0.00021405154676757302,0.00010234515441720366,0.0185546875,0.0,0.0
quantized_8bit,dpir_nominal,all,image_transform_spread_detail,0.75,0.0003799214039179518,0.00017846022995908045,0.06803385416666667,0.0003255208333333333,0.0
quantized_8bit,dpir_nominal,all,image_transform_spread_detail,0.9,0.000536557675484676,0.0002483191887998488,0.10683297180043383,0.003796095444685466,0.0
quantized_8bit,dpir_nominal,all,image_transform_spread_detail,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,measurement_residual,0.5,0.0009187376498426817,0.00042178738931378777,0.19873046875,0.02880859375,0.0
quantized_8bit,dpir_nominal,all,measurement_residual,0.75,0.0008140901940111534,0.0003723891173725473,0.17122395833333331,0.021809895833333336,0.0
quantized_8bit,dpir_nominal,all,measurement_residual,0.9,0.0007718826022605076,0.00035288389542912973,0.15997830802603036,0.019251626898047724,0.0
quantized_8bit,dpir_nominal,all,measurement_residual,1.0,0.0007386096890492143,0.000337151949413939,0.152099609375,0.017578125,0.0
quantized_8bit,dpir_nominal,all,operator_spread_detail,0.5,0.00019036903597547208,9.176793549899496e-05,0.0087890625,0.0,0.0
