source_id,stage,stage_index,model,mse,psnr_db,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0803,quantized_8bit,2,drunet_denoise_only,0.0007396160455545269,31.30993675635903,0.00019117308403985962,0.0693359375,0.0009765625,0.0
0803,quantized_8bit,2,dpir_nominal,0.0004727138061127298,33.25401713476617,0.0001550892054429066,0.0517578125,0.0009765625,0.0
0803,quantized_8bit,2,dpir_oracle_blur,0.00011392478125897485,39.43381796610876,6.351214466337625e-05,0.0009765625,0.0,0.0
0803,jpeg_q75,3,observed,0.000799284156096313,30.97298795797972,0.00021377364732371698,0.0771484375,0.0009765625,0.0
0803,jpeg_q75,3,gradient_nominal,0.0006297656064780769,32.00821061267994,0.0001948002048951637,0.064453125,0.0009765625,0.0
0803,jpeg_q75,3,drunet_denoise_only,0.0007724095940143557,31.121523405352928,0.00019663012506085338,0.07421875,0.0009765625,0.0
0803,jpeg_q75,3,dpir_nominal,0.0007145917622020622,31.45941994641848,0.0003195225464268955,0.10546875,0.0185546875,0.0009765625
0803,jpeg_q75,3,dpir_oracle_blur,0.0008599474614872736,30.655280811787094,0.00039919758172882576,0.1689453125,0.017578125,0.0
0804,linear_float,0,observed,0.002229020549032272,26.518859278005213,0.000983692867992418,0.4921875,0.0927734375,0.0
0804,linear_float,0,gradient_nominal,0.001822287606082521,27.393830785829234,0.0008997021467645005,0.458984375,0.080078125,0.0
0804,linear_float,0,drunet_denoise_only,0.002197199242147662,26.58130559446394,0.0009451921349656786,0.47265625,0.091796875,0.0
0804,linear_float,0,dpir_nominal,0.0016508863833506746,27.822828145517132,0.0008442803650984388,0.4384765625,0.06640625,0.0
0804,linear_float,0,dpir_oracle_blur,0.0007772150927791376,31.09458774403891,0.0005714570851167753,0.3212890625,0.0146484375,0.0
0804,clipped_float,1,observed,0.002229020549032272,26.518859278005213,0.000983692867992418,0.4921875,0.0927734375,0.0
0804,clipped_float,1,gradient_nominal,0.0018222814670629459,27.39384541659777,0.0008996994407591863,0.458984375,0.080078125,0.0
0804,clipped_float,1,drunet_denoise_only,0.0021972068650505058,26.581290527196323,0.0009451918162837774,0.47265625,0.091796875,0.0
0804,clipped_float,1,dpir_nominal,0.001650879045532691,27.822847448971167,0.0008442758725757094,0.4384765625,0.06640625,0.0
0804,clipped_float,1,dpir_oracle_blur,0.0007771948765436684,31.094700710369324,0.0005714438999797935,0.3212890625,0.0146484375,0.0
0804,quantized_8bit,2,observed,0.0022301982100859648,26.51656537076859,0.0009846427570311318,0.4970703125,0.0927734375,0.0
0804,quantized_8bit,2,gradient_nominal,0.001822909296284322,27.39234940288096,0.0008999501908805215,0.4580078125,0.0810546875,0.0
0804,quantized_8bit,2,drunet_denoise_only,0.00219707853479143,26.581544189024456,0.0009451165492749314,0.47265625,0.091796875,0.0
0804,quantized_8bit,2,dpir_nominal,0.0016503726400478314,27.82417984728763,0.0008440925239170039,0.4384765625,0.068359375,0.0
0804,quantized_8bit,2,dpir_oracle_blur,0.0007774122244818421,31.093486345521065,0.0005714943917991711,0.3212890625,0.0146484375,0.0
0804,jpeg_q75,3,observed,0.0022585963555120515,26.46161376975712,0.0009683008665079789,0.4873046875,0.09375,0.0
0804,jpeg_q75,3,gradient_nominal,0.0019081243999171525,27.19393314937786,0.0009193140774677663,0.466796875,0.08203125,0.0
0804,jpeg_q75,3,drunet_denoise_only,0.002241532563989358,26.494549475150485,0.0009550915602409772,0.4765625,0.0908203125,0.0
0804,jpeg_q75,3,dpir_nominal,0.0020719218386911964,26.836266319699398,0.0011707144351741994,0.5087890625,0.138671875,0.001953125
0804,jpeg_q75,3,dpir_oracle_blur,0.0018119411079390332,27.418559219532167,0.0010732326722935825,0.5224609375,0.1201171875,0.0
