source_id,stage,stage_index,model,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,jpeg_q75,3,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,0.0001178549209726043,9.594832226866856e-05
0801,jpeg_q75,3,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,6.709276931360364e-05,5.440312088467181e-05
0801,jpeg_q75,3,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,3.628669583122246e-05,3.374484367668629e-05
0801,jpeg_q75,3,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.564530612085946e-05,2.4666209355928004e-05
0801,jpeg_q75,3,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,6.214057975739706e-06,2.033134296652861e-05
0801,jpeg_q75,3,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,2.6406030428915983e-06,1.8123399058822542e-05
0801,jpeg_q75,3,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,1.12071541025216e-06,1.7189739082823507e-05
0802,linear_float,0,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00030835598590783775,0.0002960122365038842
0802,linear_float,0,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.235819480731152e-05,0.00019827191135846078
0802,linear_float,0,dpir_nominal,3,0.0023834437597543,0.07704620808362961,3.824312079814263e-05,0.0001323656615568325
0802,linear_float,0,dpir_nominal,4,0.005944420117884874,0.04878642410039902,2.4419032342848368e-05,9.306641004513949e-05
0802,linear_float,0,dpir_nominal,5,0.014825660735368729,0.03089204803109169,1.3601546015706845e-05,7.332189852604643e-05
0802,linear_float,0,dpir_nominal,6,0.03697589039802551,0.019561151042580605,6.604180725844344e-06,6.371470226440579e-05
0802,linear_float,0,dpir_nominal,7,0.09221960604190826,0.012386314570903778,3.1523129564448027e-06,5.893634079257026e-05
0802,linear_float,0,dpir_nominal,8,0.22999997437000275,0.007843137718737125,1.2978225640836172e-06,5.669539677910507e-05
0802,linear_float,0,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.000418413314037025,0.00025590689620003104
