region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
all,image_gradient,0.5,1024,512,0.0002244880436068014,0.00010422800209751334,0.001953125,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_gradient,0.75,1024,768,0.0003258580650966881,0.00015061546198551258,0.02734375,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_gradient,0.9,1024,922,0.00039896392752924407,0.00018027175885553965,0.04880694143167028,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,image_gradient,1.0,1024,1024,0.00048326205583445244,0.00021422436506305753,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,random_expected,0.5,1024,512,0.0004832620558344525,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,random_expected,0.75,1024,768,0.0004832620558344525,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,random_expected,0.9,1024,922,0.0004832620558344525,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,random_expected,1.0,1024,1024,0.0004832620558344525,0.00021422436506305756,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
all,oracle_detail_error,0.5,1024,512,0.00014682027549822849,6.230341154804986e-05,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,oracle_detail_error,0.75,1024,768,0.00023565100913715482,9.941620542227226e-05,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,oracle_detail_error,0.9,1024,922,0.0003426555938279935,0.00014568489758919084,0.0,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
all,oracle_detail_error,1.0,1024,1024,0.0004832620558344525,0.00021422436506305753,0.068359375,0.0009765625,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_detail,0.5,256,128,0.0007941799794597752,0.00034597100137601555,0.078125,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_detail,0.75,256,192,0.0009503330154538754,0.0004181579159292219,0.15625,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_detail,0.9,256,231,0.001072993730417351,0.0004734576969324894,0.22510822510822512,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_detail,1.0,256,256,0.0011890707033704324,0.0005282781404620492,0.2734375,0.00390625,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,0.5,256,128,0.0008311334471800514,0.00036662090327362203,0.125,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,0.75,256,192,0.0009816431199583342,0.0004325925369296154,0.16666666666666666,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,0.9,256,231,0.0010894521421520823,0.0004762081635964594,0.21645021645021645,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,1.0,256,256,0.0011890707033704322,0.0005282781404620492,0.2734375,0.00390625,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.5,256,128,0.0008185369193952534,0.0003686874676069157,0.1015625,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.75,256,192,0.0009619324765319999,0.0004306129326109899,0.1875,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.9,256,231,0.001077826947159665,0.00048013894983310585,0.24242424242424243,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,1.0,256,256,0.0011890707033704322,0.0005282781404620492,0.2734375,0.00390625,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.5,256,128,0.0012644057761623442,0.0005612238795901932,0.3125,0.0078125,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.75,256,192,0.001218378563215322,0.0005406523377953594,0.2864583333333333,0.005208333333333333,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.9,256,231,0.0011958022261911456,0.0005317313574860857,0.2727272727272727,0.004329004329004329,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,1.0,256,256,0.0011890707033704322,0.0005282781404620492,0.2734375,0.00390625,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.5,256,128,0.0011061419058767793,0.0005160386686783309,0.2578125,0.0,0.0,0802,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.75,256,192,0.0011538734554449642,0.0005293012585412358,0.2864583333333333,0.005208333333333333,0.0,0802,1.6,0.00784313725490196,blur_noise
