chain_id,method,sources,mean_mse,mse_bootstrap_ci_low,mse_bootstrap_ci_high,mean_psnr_db,psnr_db_bootstrap_ci_low,psnr_db_bootstrap_ci_high,mean_detail_mse,detail_mse_bootstrap_ci_low,detail_mse_bootstrap_ci_high,mean_bad_detail_rate_0.025,bad_detail_rate_0.025_bootstrap_ci_low,bad_detail_rate_0.025_bootstrap_ci_high,mean_bad_detail_rate_0.05,bad_detail_rate_0.05_bootstrap_ci_low,bad_detail_rate_0.05_bootstrap_ci_high,mean_bad_detail_rate_0.1,bad_detail_rate_0.1_bootstrap_ci_low,bad_detail_rate_0.1_bootstrap_ci_high
j75_b20_n2,fbcnn,40,0.0002932751022382226,0.00021660831948401877,0.0003843599641708698,36.989734194692446,35.76342758614915,38.167014796120746,2.0840172474782947e-05,1.45143171433459e-05,2.834514249146838e-05,9.765625e-05,0.0,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0
j75_b20_n2,fbcnn_dpir_nominal,40,0.0002172638726063919,0.00016141675713990186,0.0002834672474281139,38.21834116503959,37.015222124993336,39.36845565122839,1.8252661089131958e-05,1.2790724008904015e-05,2.4776339671214896e-05,4.8828125e-05,0.0,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b20_n2,fbcnn_gradient_nominal,40,0.00022651851973267152,0.0001675216975049074,0.00029612260787322,38.052937886588595,36.8487890246727,39.19904852538572,1.9082036129783218e-05,1.3432554037939886e-05,2.5820161576845443e-05,7.32421875e-05,0.0,0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b20_n2,gradient_nominal,40,0.0002575042776265357,0.0001976454375914614,0.000327043184683304,37.093997751350294,36.07401047813589,38.046939467690734,2.8137884110822786e-05,2.195389046763107e-05,3.5490086429839753e-05,7.32421875e-05,0.0,0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b20_n2,observed,40,0.0003152327771585524,0.00023743206612284585,0.00040635852332174835,36.41028961146667,35.29971552910776,37.460224577857495,3.0752391204078456e-05,2.3833986450113275e-05,3.8967640013833226e-05,9.765625e-05,0.0,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,dpir_nominal,40,9.47443270138282e-05,7.17361197035547e-05,0.00012188013936512548,41.58893290438346,40.494732194251256,42.63585000679685,1.4229421484831504e-05,1.0713655325433828e-05,1.827253538281543e-05,0.0002197265625,2.44140625e-05,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,fbcnn,40,0.00016370267161542473,0.0001204057885324762,0.0002144650040161401,39.47378270895467,38.27142275836859,40.606408352558546,1.6821517731573217e-05,1.2367400926556815e-05,2.2104342094334364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,fbcnn_dpir_nominal,40,9.138075197171947e-05,6.822340382897754e-05,0.00011875434879105739,41.90458520832024,40.7359043906092,43.023525598443285,1.1695448250451772e-05,8.452044303582278e-06,1.5478385059515584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,fbcnn_gradient_nominal,40,0.00010699660819665038,8.0955547652663e-05,0.000137732945507696,40.97922774602849,39.9377462172315,41.94716132802981,1.5186273013281104e-05,1.1759011006662274e-05,1.9216553001746904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,gradient_nominal,40,0.00013126901223502378,0.0001053233972874322,0.00016154398732974557,39.613748270360816,38.79479743945603,40.355265720352236,2.34392565417341e-05,1.9892167433620105e-05,2.7644196743338382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j90_b16_n2,observed,40,0.00018328031026349623,0.00013980805422575602,0.0002338976106688572,38.594041719075605,37.576843681980286,39.539483096743616,2.7046988557716397e-05,2.2274265906087107e-05,3.271101972651868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,dpir_nominal,40,8.580707922638676e-05,6.354642859508949e-05,0.00011202870067026091,42.250725581752725,41.05164331097767,43.38879645869053,1.107117040149789e-05,7.983339091960802e-06,1.469309774859486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,fbcnn,40,0.00016687190259027853,0.00012380767475200584,0.0002176138241540843,39.29209889443372,38.13422190991303,40.37268788923883,2.155851421330871e-05,1.7206724262069407e-05,2.6718101650454076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,fbcnn_dpir_nominal,40,8.850612689375399e-05,6.556673910964068e-05,0.00011572437465082445,42.1196057288062,40.91923754623761,43.26427428303755,1.1350774945691737e-05,8.18961766603163e-06,1.5056200444755423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,fbcnn_gradient_nominal,40,0.00010449781251606013,7.860612160646235e-05,0.00013515075019466887,41.129429825006014,40.061934466989726,42.11312721871187,1.5842207249584842e-05,1.248969035650752e-05,1.978713515517525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,gradient_nominal,40,0.00012722771509495145,0.00010205513189446972,0.00015683338023471862,39.74754026127344,38.936439459322436,40.484700396815875,2.6093352645634918e-05,2.283807570960094e-05,2.9947979241048773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8_b16_n2,observed,40,0.00021534925189729983,0.0001725320128435957,0.00026549809587986196,37.49219868198624,36.67060336731245,38.244790204701644,6.150798820039388e-05,5.708088212006955e-05,6.674664200837421e-05,4.8828125e-05,0.0,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0
